match_number,date_local,fixture_kickoff_utc,kickoff_utc,kickoff_beijing,stage,stage_cn,group,home_team,away_team,stadium,host_city,status,status_state,completed,home_score,away_score,attendance,espn_event_id,espn_summary_url,espn_stats_url,fixture_url,time_discrepancy_note,source
47,2026-06-23,2026-06-23T17:00:00Z,2026-06-23T17:00:00Z,2026-06-24T01:00+08:00,group-stage,小组赛,K,Portugal,Uzbekistan,NRG Stadium,houston,Scheduled,pre,False,0,0,0,760461,https://www.espn.com/soccer/match/_/gameId/760461/uzbekistan-portugal,https://www.espn.com/soccer/matchstats/_/gameId/760461,https://www.thestatsapi.com/world-cup/matches/portugal-vs-uzbekistan-2026-06-23,,TheStatsAPI fixtures + ESPN scoreboard
48,2026-06-23,2026-06-24T02:00:00Z,2026-06-24T02:00:00Z,2026-06-24T10:00+08:00,group-stage,小组赛,K,Colombia,Congo DR,Estadio Akron,guadalajara,Scheduled,pre,False,0,0,0,760459,https://www.espn.com/soccer/match/_/gameId/760459/congo-dr-colombia,https://www.espn.com/soccer/matchstats/_/gameId/760459,https://www.thestatsapi.com/world-cup/matches/colombia-vs-congo-dr-2026-06-23,,TheStatsAPI fixtures + ESPN scoreboard
49,2026-06-24,2026-06-24T22:00:00Z,2026-06-24T22:00:00Z,2026-06-25T06:00+08:00,group-stage,小组赛,C,Scotland,Brazil,Hard Rock Stadium,miami,Scheduled,pre,False,0,0,0,760465,https://www.espn.com/soccer/match/_/gameId/760465/brazil-scotland,https://www.espn.com/soccer/matchstats/_/gameId/760465,https://www.thestatsapi.com/world-cup/matches/scotland-vs-brazil-2026-06-24,,TheStatsAPI fixtures + ESPN scoreboard
50,2026-06-24,2026-06-24T22:00:00Z,2026-06-24T22:00:00Z,2026-06-25T06:00+08:00,group-stage,小组赛,C,Morocco,Haiti,Mercedes-Benz Stadium,atlanta,Scheduled,pre,False,0,0,0,760464,https://www.espn.com/soccer/match/_/gameId/760464/haiti-morocco,https://www.espn.com/soccer/matchstats/_/gameId/760464,https://www.thestatsapi.com/world-cup/matches/morocco-vs-haiti-2026-06-24,,TheStatsAPI fixtures + ESPN scoreboard
51,2026-06-24,2026-06-24T19:00:00Z,2026-06-24T19:00:00Z,2026-06-25T03:00+08:00,group-stage,小组赛,B,Switzerland,Canada,BC Place,vancouver,Scheduled,pre,False,0,0,0,760463,https://www.espn.com/soccer/match/_/gameId/760463/canada-switzerland,https://www.espn.com/soccer/matchstats/_/gameId/760463,https://www.thestatsapi.com/world-cup/matches/switzerland-vs-canada-2026-06-24,,TheStatsAPI fixtures + ESPN scoreboard
52,2026-06-24,2026-06-24T19:00:00Z,2026-06-24T19:00:00Z,2026-06-25T03:00+08:00,group-stage,小组赛,B,Bosnia and Herzegovina,Qatar,Lumen Field,seattle,Scheduled,pre,False,0,0,0,760462,https://www.espn.com/soccer/match/_/gameId/760462/qatar-bosnia-herzegovina,https://www.espn.com/soccer/matchstats/_/gameId/760462,https://www.thestatsapi.com/world-cup/matches/bosnia-and-herzegovina-vs-qatar-2026-06-24,,TheStatsAPI fixtures + ESPN scoreboard
53,2026-06-24,2026-06-25T01:00:00Z,2026-06-25T01:00:00Z,2026-06-25T09:00+08:00,group-stage,小组赛,A,Czechia,Mexico,Estadio Azteca,mexico-city,Scheduled,pre,False,0,0,0,760467,https://www.espn.com/soccer/match/_/gameId/760467/mexico-czechia,https://www.espn.com/soccer/matchstats/_/gameId/760467,https://www.thestatsapi.com/world-cup/matches/czechia-vs-mexico-2026-06-24,,TheStatsAPI fixtures + ESPN scoreboard
54,2026-06-24,2026-06-25T01:00:00Z,2026-06-25T01:00:00Z,2026-06-25T09:00+08:00,group-stage,小组赛,A,South Africa,Korea Republic,Estadio BBVA,monterrey,Scheduled,pre,False,0,0,0,760466,https://www.espn.com/soccer/match/_/gameId/760466/south-korea-south-africa,https://www.espn.com/soccer/matchstats/_/gameId/760466,https://www.thestatsapi.com/world-cup/matches/south-africa-vs-korea-republic-2026-06-24,,TheStatsAPI fixtures + ESPN scoreboard
55,2026-06-25,2026-06-25T20:00:00Z,2026-06-25T20:00:00Z,2026-06-26T04:00+08:00,group-stage,小组赛,E,Curacao,Cote d'Ivoire,Lincoln Financial Field,philadelphia,Scheduled,pre,False,0,0,0,760473,https://www.espn.com/soccer/match/_/gameId/760473/ivory-coast-curacao,https://www.espn.com/soccer/matchstats/_/gameId/760473,https://www.thestatsapi.com/world-cup/matches/curacao-vs-cote-divoire-2026-06-25,,TheStatsAPI fixtures + ESPN scoreboard
56,2026-06-25,2026-06-25T20:00:00Z,2026-06-25T20:00:00Z,2026-06-26T04:00+08:00,group-stage,小组赛,E,Ecuador,Germany,MetLife Stadium,new-york,Scheduled,pre,False,0,0,0,760468,https://www.espn.com/soccer/match/_/gameId/760468/germany-ecuador,https://www.espn.com/soccer/matchstats/_/gameId/760468,https://www.thestatsapi.com/world-cup/matches/ecuador-vs-germany-2026-06-25,,TheStatsAPI fixtures + ESPN scoreboard
